Requirements;Description;Requirement Specification;Component;Test ID;REC-Nr. Specification;Related Specification;REC-Nr. (related Spec.);<- Verification of Implementation Spec.;<- Verification of Implementation related Spec
;;SSRS-MPA-140;MPA;"T-SF-MPA-009

T-SF-MPA-010

T-SF-MPA-011

T-SF-MPA-012";REC-00884;;;;
;;SSRS-MPA-141;MPA;T-SF-MPA-011;REC-00884;;;;
UR-041;With the system the user must be able to navigate to an ROI using the overview image.;SSRS-MPA-048;MPA-SIP;T-UI-MPA-RSP-024;REC-00884;;;;
;;SSRS-MPA-049;MPA-SIP;T-UI-MPA-RSP-025;REC-00884;;;;
;;XY-FW-010;;;"REC-00085 REC-00263
REC-00901
REC-00227";XY-FW-011;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-012;"REC-00085 REC-00263
REC-00901";;PIO22RM-037
;;;;;;;;;PIO22RM-054
;;;;;;XY-FW-013;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-014;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-033;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-051;"REC-00085 REC-00263
REC-00901";;
;;XY-FW-015;;;"REC-00085 REC-00263
REC-00901";XY-FW-100;"REC-00085 REC-00263
REC-00901";;
UR-043;With the system the user must be able to view a slide label independently.;SSRS-MPA-051;"MPA-SIP
";"
T-UI-MPA-RSP-027

T-IB-MPA-RSP-003

T-IB-MPA-RSP-004

T-IB-MPA-RSP-005

T-IB-MPA-RSP-006";REC-00884;;;;
UR-044;With the system the user must be able to rotate the slide label to its correct orientation.;SSRS-MPA-051;"MPA-SIP
";"
T-UI-MPA-RSP-027

T-IB-MPA-RSP-003

T-IB-MPA-RSP-004

T-IB-MPA-RSP-005

T-IB-MPA-RSP-006";REC-00884;;;;
UR-046;With the system the user must be able to receive a digital microscopic magnified image.;OP-MB-001;;;REC-00539;;;;
;;OP-MB-007;;;REC-00539;;;;
;;OP-MB-009;;;REC-00539;;;;
;;S-EL-001;;;"REC-00085 REC-00263
REC-00901
REC-00520";;;;
;;SRS-AM-001;;;REC-00042 REC-00043 REC-00044 REC-00045;;;;
;;SRS-AM-002;;;REC-00042 REC-00043 REC-00044 REC-00045;;;;
;;SRS-AM-003;;;REC-00042 REC-00043 REC-00044 REC-00045;;;PIO22RM-042;
;;SRS-AM-004;;;REC-00042 REC-00043 REC-00044 REC-00045;;;;
;;SRS-AM-005;;;REC-00042 REC-00043 REC-00044 REC-00045;;;;
;;SRS-AM-006;;;REC-00042 REC-00043 REC-00044 REC-00045;;;PIO22RM-043;
;;SRS-AM-007;;;REC-00042 REC-00043 REC-00044 REC-00045;;;;
;;SRS-AM-008;;;REC-00042 REC-00043 REC-00044 REC-00045;;;;
;;SSRS-MPA-125;MPA-SIP;T-S-MPA-RSP-005;REC-00884;;;;
;;SSRS-MPA-151;MPA-SIP;"T-IB-MPA-RSP-022

T-IB-MPA-RSP-023

T-IB-MPA-RSP-024

T-IB-MPA-RSP-025

T-IB-MPA-RSP-026

T-IB-MPA-RSP-027

T-IB-MPA-RSP-028

T-SF-MPA-RSP-031";REC-00884;;;;
;;SSRS-MPA-152;"	
MPA-SIP, MPC";"T-SF-MPA-RSP-034

T-SF-MPA-RSP-037";REC-00884, REC-00863;;;;
;;SSRS-MPA-153;MPA-SIP;"T-SF-MPA-RSP-032

T-INT-MPNG-014

T-INT-MPNG-015";REC-00884;;;;
;;SSRS-MPA-154;MPA-SIP;"	
T-SF-MPA-RSP-037

T-SF-MPA-RSP-038";REC-00884;;;;
;;SSRS-MPA-155;MPA-SIP;T-SF-MPA-RSP-031;REC-00884;;;;
;;SSRS-MPA-156;MPA-SIP;T-SF-MPA-RSP-036;REC-00884;;;;
;;XY-FW-010;;;"REC-00085 REC-00263
REC-00901
REC-00227";XY-FW-011;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-012;"REC-00085 REC-00263
REC-00901";;PIO22RM-037
;;;;;;;;;PIO22RM-054
;;;;;;XY-FW-013;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-014;"REC-00085 REC-00263
REC-00901
REC-00227";;
;;;;;;XY-FW-033;"REC-00085 REC-00263
REC-00901";;
;;;;;;XY-FW-051;"REC-00085 REC-00263
REC-00901";;
;;XY-FW-015;;;"REC-00085 REC-00263
REC-00901";XY-FW-100;"REC-00085 REC-00263
REC-00901";;
;;Z-EL-006;;;, REC-00520;;;PIO22RM-017;
;;Z-EL-007;;;REC-00076;;;;
;;Z-EL-008;;;REC-00317;;;;
;;Z-EL-009;;;REC-00078;;;;
UR-047;With the system the user must be able to magnify the sample to a degree that provides enough detail for his analytic question.;OP-MB-002;;;"REC-00906
REC-00539";;;;
;;OP-MB-008;;;REC-00539;;;;
;;OP-MB-010;;;REC-00539;;;;
;;SSRS-MPA-098;MPC;T-INT-MPNG-010;REC-00863;;;;
;;SSRS-MPA-125;MPA-SIP;T-S-MPA-RSP-005;REC-00884;;;;
;;SSRS-MPA-152;"	
MPA-SIP, MPC";"T-SF-MPA-RSP-034

T-SF-MPA-RSP-037";REC-00884, REC-00863;;;;
;;SSRS-MPA-153;MPA-SIP;"T-SF-MPA-RSP-032

T-INT-MPNG-014

T-INT-MPNG-015";REC-00884;;;;
;;SSRS-MPA-154;MPA-SIP;"	
T-SF-MPA-RSP-037

T-SF-MPA-RSP-038";REC-00884;;;;
;;SSRS-MPA-155;MPA-SIP;T-SF-MPA-RSP-031;REC-00884;;;;
;;SSRS-MPA-156;MPA-SIP;T-SF-MPA-RSP-036;REC-00884;;;;
UR-048;With the system the user must be able to seamlessly zoom into the sample.;OP-MB-003;;;REC-00539;;;;
;;SSRS-MPA-043;MPA-SIP;T-UI-MPA-RSP-019;REC-00884;;;;
;;SSRS-MPA-044;MPA-SIP;T-UI-MPA-RSP-020;REC-00884;;;;
;;SSRS-MPA-045;MPA-SIP;T-UI-MPA-RSP-021;REC-00884;;;;
;;SSRS-MPA-046;MPA-SIP;T-UI-MPA-RSP-022;REC-00884;;;PIO22RM-031;
;;SSRS-MPA-098;MPC;T-INT-MPNG-010;REC-00863;;;;
;;SSRS-MPA-125;MPA-SIP;T-S-MPA-RSP-005;REC-00884;;;;
;;SSRS-MPA-152;"	
MPA-SIP, MPC";"T-SF-MPA-RSP-034

T-SF-MPA-RSP-037";REC-00884, REC-00863;;;;
;;SSRS-MPA-153;MPA-SIP;"T-SF-MPA-RSP-032

T-INT-MPNG-014

T-INT-MPNG-015";REC-00884;;;;
;;SSRS-MPA-154;MPA-SIP;"	
T-SF-MPA-RSP-037

T-SF-MPA-RSP-038";REC-00884;;;;
;;SSRS-MPA-155;MPA-SIP;T-SF-MPA-RSP-031;REC-00884;;;;
;;SSRS-MPA-156;MPA-SIP;T-SF-MPA-RSP-036;REC-00884;;;;
UR-049;With the system the user must be able to navigate to ROI (Region of Interest) positions on the sample.;S-EL-001;;;"REC-00085 REC-00263
REC-00901
REC-00520";;;;
;;SSRS-MPA-043;MPA-SIP;T-UI-MPA-RSP-019;REC-00884;;;;
;;SSRS-MPA-125;MPA-SIP;T-S-MPA-RSP-005;REC-00884;;;;
;;SSRS-MPA-152;"	
MPA-SIP, MPC";"T-SF-MPA-RSP-034

T-SF-MPA-RSP-037";REC-00884, REC-00863;;;;
;;SSRS-MPA-153;MPA-SIP;"T-SF-MPA-RSP-032

T-INT-MPNG-014

T-INT-MPNG-015";REC-00884;;;;
;;SSRS-MPA-154;MPA-SIP;"	
T-SF-MPA-RSP-037

T-SF-MPA-RSP-038";REC-00884;;;;
;;SSRS-MPA-155;MPA-SIP;T-SF-MPA-RSP-031;REC-00884;;;;
;;SSRS-MPA-156;MPA-SIP;T-SF-MPA-RSP-036;REC-00884;;;;
;;XY-EL-001;;;REC-00316;;;;
;;XY-EL-004;;;REC-00078;;;;
;;XY-EL-005;;;"REC-00085 REC-00263
REC-00901";;;PIO22RM-017;
